,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item,emp_name,salary,activities,has_flags,flag_types
41,2019-01-08 00:00:00,0.83,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
42,2019-01-08 00:00:00,0.25,Rest Break,,,,,,EMP_1,1,,,
43,2019-01-08 00:00:00,0.92,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
44,2019-01-08 00:00:00,0.75,Lunch Break,,,,,,EMP_1,1,,,
45,2019-01-08 00:00:00,1.08,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
46,2019-01-08 00:00:00,0.25,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
47,2019-01-08 00:00:00,0.17,Rest Break,,,,,,EMP_1,1,,,
48,2019-01-08 00:00:00,3.25,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Extra Services,EMP_1,1,,,
49,2019-01-09 00:00:00,2.33,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
50,2019-01-09 00:00:00,0.58,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Extra Services,EMP_1,1,,,
51,2019-01-09 00:00:00,0.25,Lunch Break,,,,,,EMP_1,1,,,
52,2019-01-09 00:00:00,0.92,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
53,2019-01-09 00:00:00,0.33,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Extra Services,EMP_1,1,,,
54,2019-01-09 00:00:00,0.75,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
55,2019-01-09 00:00:00,0.58,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Extra Services,EMP_1,1,,,
56,2019-01-09 00:00:00,0.25,Rest Break,,,,,,EMP_1,1,,,
57,2019-01-09 00:00:00,0.5,BDE Architecture Inc.,17214 Walnut Creek Transit Village Phase,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
58,2019-01-09 00:00:00,1.33,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
59,2019-01-09 00:00:00,1.0,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
60,2019-01-10 00:00:00,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
61,2019-01-10 00:00:00,0.67,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
62,2019-01-10 00:00:00,0.33,"Kasia Ekstrand, Architect",19015 - Gelman Interior Remodel,Compliance,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
63,2019-01-10 00:00:00,0.58,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
64,2019-01-10 00:00:00,0.5,"Kasia Ekstrand, Architect",19015 - Gelman Interior Remodel,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
65,2019-01-10 00:00:00,0.17,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
66,2019-01-10 00:00:00,1.17,Lunch Break,,,,,,EMP_1,1,,,
67,2019-01-10 00:00:00,0.17,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
68,2019-01-10 00:00:00,0.08,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Project Coordination,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
69,2019-01-10 00:00:00,0.25,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
70,2019-01-10 00:00:00,0.33,"Kasia Ekstrand, Architect",19015 - Gelman Interior Remodel,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
71,2019-01-10 00:00:00,0.25,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
72,2019-01-10 00:00:00,0.75,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
73,2019-01-10 00:00:00,0.5,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
74,2019-01-10 00:00:00,0.58,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
75,2019-01-10 00:00:00,0.0,Rest Break,,,,,,EMP_1,1,,,
76,2019-01-10 00:00:00,0.0,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
77,2019-01-10 00:00:00,1.5,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
78,2019-01-11 00:00:00,1.75,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
79,2019-01-11 00:00:00,0.33,BDE Architecture Inc.,18116 MB Lakeside Sunnyvale,Develop Report,Yes,Nonresidential,CA Phase,EMP_1,1,,,
80,2019-01-11 00:00:00,1.08,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead,EMP_1,1,,,
81,2019-01-11 00:00:00,1.5,Lunch Break,,,,,,EMP_1,1,,,
82,2019-01-11 00:00:00,0.0,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead,EMP_1,1,,,
83,2019-01-11 00:00:00,1.08,BDE Architecture Inc.,18116 MB Lakeside Sunnyvale,Develop Report,Yes,Nonresidential,CA Phase,EMP_1,1,,,
84,2019-01-11 00:00:00,2.08,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
85,2019-01-14 00:00:00,0.83,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
86,2019-01-14 00:00:00,0.42,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
87,2019-01-14 00:00:00,0.67,Lunch Break,,,,,,EMP_1,1,,,
88,2019-01-14 00:00:00,0.0,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
89,2019-01-14 00:00:00,0.33,MESH Design Build Studio Inc.,18051 Mirchandini Residence,Revision,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
90,2019-01-14 00:00:00,0.75,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
91,2019-01-14 00:00:00,0.5,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead,EMP_1,1,,,
92,2019-01-14 00:00:00,0.42,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
93,2019-01-14 00:00:00,1.17,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
94,2019-01-14 00:00:00,0.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
95,2019-01-15 00:00:00,0.75,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
96,2019-01-15 00:00:00,0.08,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
97,2019-01-15 00:00:00,0.42,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
98,2019-01-15 00:00:00,0.58,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
99,2019-01-15 00:00:00,0.58,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
100,2019-01-15 00:00:00,1.08,Lunch Break,,,,,,EMP_1,1,,,
101,2019-01-15 00:00:00,0.0,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
102,2019-01-15 00:00:00,0.92,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
103,2019-01-15 00:00:00,3.0,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
104,2019-01-15 00:00:00,0.17,Rest Break,,,,,,EMP_1,1,,,
105,2019-01-15 00:00:00,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
106,2019-01-15 00:00:00,1.08,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
107,2019-01-16 00:00:00,0.08,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
108,2019-01-16 00:00:00,0.33,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Project Coordination,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
109,2019-01-16 00:00:00,0.08,Rest Break,,,,,,EMP_1,1,,,
110,2019-01-16 00:00:00,0.75,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Project Coordination,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
111,2019-01-16 00:00:00,4.08,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
112,2019-01-16 00:00:00,0.58,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Develop Report,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
113,2019-01-16 00:00:00,0.17,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
114,2019-01-16 00:00:00,0.5,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
115,2019-01-16 00:00:00,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
116,2019-01-16 00:00:00,0.42,REYES STUDIO,18126 [Knudson] Granite Lion Cellars,Develop Report,Yes,Nonresidential,Extra Services,EMP_1,1,,,
117,2019-01-16 00:00:00,0.25,Rest Break,,,,,,EMP_1,1,,,
118,2019-01-16 00:00:00,0.08,Rest Break,,,,,,EMP_1,1,,,
119,2019-01-16 00:00:00,0.25,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
120,2019-01-17 00:00:00,0.58,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
121,2019-01-17 00:00:00,0.5,REYES STUDIO,18126 [Knudson] Granite Lion Cellars,Develop Report,Yes,Nonresidential,Extra Services,EMP_1,1,,,
122,2019-01-17 00:00:00,0.17,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
123,2019-01-17 00:00:00,1.25,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
124,2019-01-17 00:00:00,0.25,Rest Break,,,,,,EMP_1,1,,,
125,2019-01-17 00:00:00,0.92,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
126,2019-01-17 00:00:00,0.67,Lunch Break,,,,,,EMP_1,1,,,
127,2019-01-17 00:00:00,0.42,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
128,2019-01-17 00:00:00,0.25,Rest Break,,,,,,EMP_1,1,,,
129,2019-01-17 00:00:00,1.17,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
130,2019-01-17 00:00:00,0.08,Rest Break,,,,,,EMP_1,1,,,
131,2019-01-17 00:00:00,0.42,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
132,2019-01-17 00:00:00,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
133,2019-01-17 00:00:00,0.67,"Kasia Ekstrand, Architect",19015 - Gelman Interior Remodel,Develop Report,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
134,2019-01-17 00:00:00,1.0,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
135,2019-01-18 00:00:00,0.33,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Meeting,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
136,2019-01-18 00:00:00,0.17,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
137,2019-01-18 00:00:00,0.42,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
138,2019-01-18 00:00:00,0.08,Rest Break,,,,,,EMP_1,1,,,
139,2019-01-18 00:00:00,0.25,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
140,2019-01-18 00:00:00,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
141,2019-01-18 00:00:00,0.25,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
142,2019-01-18 00:00:00,1.25,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
143,2019-01-18 00:00:00,0.17,Rest Break,,,,,,EMP_1,1,,,
144,2019-01-18 00:00:00,0.0,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
145,2019-01-21 00:00:00,8.0,Holiday,,,,,,EMP_1,1,,,
146,2019-01-22 00:00:00,1.58,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
147,2019-01-22 00:00:00,0.83,Lunch Break,,,,,,EMP_1,1,,,
148,2019-01-22 00:00:00,0.08,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
149,2019-01-22 00:00:00,0.33,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
150,2019-01-22 00:00:00,0.83,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
151,2019-01-23 00:00:00,0.42,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
152,2019-01-23 00:00:00,0.58,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Project Coordination,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
153,2019-01-23 00:00:00,0.17,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead,EMP_1,1,,,
154,2019-01-23 00:00:00,0.75,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Compliance,No,Residential,Consulting,EMP_1,1,,,
155,2019-01-23 00:00:00,0.25,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,EMP_1,1,,,
156,2019-01-23 00:00:00,1.5,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
157,2019-01-23 00:00:00,2.42,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
158,2019-01-23 00:00:00,1.08,ALTUS Architecture + Design,19009 - Munson Residence and Guest House,Compliance,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
159,2019-01-23 00:00:00,0.17,Rest Break,,,,,,EMP_1,1,,,
160,2019-01-24 00:00:00,0.0,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
161,2019-01-24 00:00:00,0.33,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
162,2019-01-24 00:00:00,0.17,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
163,2019-01-24 00:00:00,1.08,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
164,2019-01-24 00:00:00,3.33,Lunch Break,,,,,,EMP_1,1,,,
165,2019-01-24 00:00:00,0.33,"Carollo Engineers, Inc.",19012 Modesto - River Trunk,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
166,2019-01-24 00:00:00,0.08,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
167,2019-01-24 00:00:00,0.25,HOMEOWNER,18366 Williamette Addition [Larry Downer],Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work,EMP_1,1,,,
168,2019-01-24 00:00:00,1.17,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
169,2019-01-24 00:00:00,0.33,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
170,2019-01-24 00:00:00,1.75,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
171,2019-01-25 00:00:00,0.75,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
172,2019-01-25 00:00:00,1.0,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Peer Review/Education,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
173,2019-01-25 00:00:00,0.25,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead,EMP_1,1,,,
174,2019-01-25 00:00:00,0.67,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
175,2019-01-25 00:00:00,0.17,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead,EMP_1,1,,,
176,2019-01-25 00:00:00,0.92,Lunch Break,,,,,,EMP_1,1,,,
177,2019-01-25 00:00:00,0.0,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead,EMP_1,1,,,
178,2019-01-25 00:00:00,0.75,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
179,2019-01-25 00:00:00,0.08,Rest Break,,,,,,EMP_1,1,,,
180,2019-01-25 00:00:00,0.92,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
181,2019-01-25 00:00:00,0.5,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
182,2019-01-25 00:00:00,0.58,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Develop Report,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
183,2019-01-25 00:00:00,0.17,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead,EMP_1,1,,,
184,2019-01-25 00:00:00,0.17,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Develop Report,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
185,2019-01-25 00:00:00,0.17,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
186,2019-01-25 00:00:00,0.83,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Peer Review/Education,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
187,2019-01-28 00:00:00,0.75,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
188,2019-01-28 00:00:00,0.92,"Industrial Energy Services, Inc.",18199 Walmart Lighting Alterations,Project Coordination,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
189,2019-01-28 00:00:00,0.25,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,EMP_1,1,,,
190,2019-01-28 00:00:00,0.75,BDE Architecture Inc.,18348 1650 S. Delaware - Four Corners,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,EMP_1,1,,,
191,2019-01-28 00:00:00,0.08,Rest Break,,,,,,EMP_1,1,,,
