,local_date,hours,jobcode_1,jobcode_2,activities,billable,class,service item,has_flags,flag_types,emp_name,salary
17,2019-01-07,1.42,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31814: Weekly/Monthly Check Ins: Weekly meeting with managers, instructor calls, etc.",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
18,2019-01-07,0.92,Pacific Gas & Electric - Kelly Task 4,19006 - Task 4 - Kelly Contract,T41804: 2022 Multifamily Support,Yes,Utilities:PG&E,Task 4 - Future Code Work,,,EMP_6,1
19,2019-01-07,1.33,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T11801: Decoding: General (add notes):,Yes,Utilities:PG&E,Task 1 - Decoding Talks,,,EMP_6,1
20,2019-01-08,1.17,SAN DIEGO GAS & ELECTRIC CO,18002 Codes & Standards Buildings Edu (deleted),"T21801: Training General (add notes): When it doesn't fit in anywhere else, NOT a new project",Yes,Utilities:SDG&E,Task 2 - Standards Essential Courses,,,EMP_6,1
21,2019-01-08,0.83,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31802: Conference/Presentation Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
22,2019-01-08,0.25,Pacific Gas & Electric - Kelly Task 4,19006 - Task 4 - Kelly Contract,T41804: 2022 Multifamily Support,Yes,Utilities:PG&E,Task 4 - Future Code Work,,,EMP_6,1
23,2019-01-08,1.0,Lunch Break,,,,,,,,EMP_6,1
24,2019-01-08,0.5,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
25,2019-01-08,1.67,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31814: Weekly/Monthly Check Ins: Weekly meeting with managers, instructor calls, etc.",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
26,2019-01-08,0.17,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T11805: Decoding: Renewables,Yes,Utilities:PG&E,Task 1 - Decoding Talks,,,EMP_6,1
27,2019-01-08,0.5,@ Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,,,EMP_6,1
28,2019-01-08,0.58,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
29,2019-01-08,1.33,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
30,2019-01-08,0.58,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
31,2019-01-08,0.17,K2D Consulting Engineers,18341 Ongoing Soody Support,Peer Review/Education,Yes,Nonresidential,Consulting,,,EMP_6,1
32,2019-01-08,0.25,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
33,2019-01-09,0.83,@ Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead,,,EMP_6,1
34,2019-01-09,0.75,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
35,2019-01-09,0.67,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31802: Conference/Presentation Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
36,2019-01-09,1.25,Lunch Break,,,,,,,,EMP_6,1
37,2019-01-09,0.0,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31802: Conference/Presentation Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
38,2019-01-09,1.83,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
39,2019-01-09,0.08,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31802: Conference/Presentation Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
40,2019-01-09,1.75,HOMEOWNER,19016 - 3834 Clayton Ave. Addition,Compliance,No,Residential,Consulting,,,EMP_6,1
41,2019-01-09,0.25,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
42,2019-01-09,3.92,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
43,2019-01-10,0.25,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
44,2019-01-10,1.25,Brendan Kelly,19017 - Energy Consulting Support for BK,Project Coordination,Yes,Residential,Consulting,,,EMP_6,1
45,2019-01-10,2.25,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
46,2019-01-10,1.92,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
47,2019-01-10,1.5,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T11801: Decoding: General (add notes):,Yes,Utilities:PG&E,Task 1 - Decoding Talks,,,EMP_6,1
48,2019-01-10,5.58,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31802: Conference/Presentation Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
49,2019-01-11,2.5,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31802: Conference/Presentation Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
50,2019-01-11,3.0,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T#1804: Travel Time,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
51,2019-01-12,2.67,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
52,2019-01-12,0.58,Brendan Kelly,19017 - Energy Consulting Support for BK,Energy Model/Takeoffs,Yes,Residential,Consulting,,,EMP_6,1
53,2019-01-12,0.42,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
54,2019-01-14,4.75,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
55,2019-01-14,0.25,HOMEOWNER,19016 - 3834 Clayton Ave. Addition,Project Coordination,No,Residential,Consulting,,,EMP_6,1
56,2019-01-14,0.92,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
57,2019-01-14,0.92,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
58,2019-01-14,0.67,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
59,2019-01-15,1.25,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
60,2019-01-15,0.83,Brendan Kelly,19017 - Energy Consulting Support for BK,Project Coordination,Yes,Residential,Consulting,,,EMP_6,1
61,2019-01-15,1.5,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
62,2019-01-15,0.67,Brendan Kelly,19017 - Energy Consulting Support for BK,Energy Model/Takeoffs,Yes,Residential,Consulting,,,EMP_6,1
63,2019-01-15,1.75,Lunch Break,,,,,,,,EMP_6,1
64,2019-01-15,0.0,Brendan Kelly,19017 - Energy Consulting Support for BK,Energy Model/Takeoffs,Yes,Residential,Consulting,,,EMP_6,1
65,2019-01-15,1.17,SCE,19003 Codes and Standards,T#1801: Admin Support (add notes):,Yes,Utilities:Other Utilities,Task 3 - Compliance Improvement,,,EMP_6,1
66,2019-01-15,0.92,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
67,2019-01-15,0.5,Brendan Kelly,19017 - Energy Consulting Support for BK,Energy Model/Takeoffs,Yes,Residential,Consulting,,,EMP_6,1
68,2019-01-15,1.0,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
69,2019-01-16,0.5,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
70,2019-01-16,1.25,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
71,2019-01-16,4.73,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
72,2019-01-17,0.33,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
73,2019-01-17,0.58,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
74,2019-01-17,0.08,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
75,2019-01-17,0.67,WARNER MECHANICAL ENGINEERING,17082-MKC(MM) Bardessono Suites Villa REV,Compliance,Yes,Nonresidential,Extra Services,,,EMP_6,1
76,2019-01-17,0.33,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
77,2019-01-17,0.17,Brendan Kelly,19017 - Energy Consulting Support for BK,Energy Model/Takeoffs,Yes,Residential,Consulting,,,EMP_6,1
78,2019-01-17,1.83,Lunch Break,,,,,,,,EMP_6,1
79,2019-01-17,0.0,Brendan Kelly,19017 - Energy Consulting Support for BK,Energy Model/Takeoffs,Yes,Residential,Consulting,,,EMP_6,1
80,2019-01-17,1.42,"2050 Partners, Inc.",18327 Code Readiness MultiFamily,S11801: Initial MF Code Ready - 2050,Yes,Utilities:Other Utilities,Sub - 2050,,,EMP_6,1
81,2019-01-17,0.5,Brendan Kelly,19017 - Energy Consulting Support for BK,Energy Model/Takeoffs,Yes,Residential,Consulting,,,EMP_6,1
82,2019-01-17,0.42,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
83,2019-01-17,0.17,SAN DIEGO GAS & ELECTRIC CO,18002 Codes & Standards Buildings Edu (deleted),T31801: Other SME Task 3: General,Yes,Utilities:SDG&E,Task 2 - Standards Essential Courses,,,EMP_6,1
84,2019-01-17,0.33,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T11801: Decoding: General (add notes):,Yes,Utilities:PG&E,Task 1 - Decoding Talks,,,EMP_6,1
85,2019-01-17,0.92,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
86,2019-01-17,0.83,SAN DIEGO GAS & ELECTRIC CO,18002 Codes & Standards Buildings Edu (deleted),"T21801: Training General (add notes): When it doesn't fit in anywhere else, NOT a new project",Yes,Utilities:SDG&E,Task 2 - Standards Essential Courses,,,EMP_6,1
87,2019-01-18,0.5,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
88,2019-01-18,0.67,Brendan Kelly,19017 - Energy Consulting Support for BK,Project Coordination,Yes,Residential,Consulting,,,EMP_6,1
89,2019-01-18,0.33,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
90,2019-01-18,0.5,@ Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead,,,EMP_6,1
91,2019-01-18,0.25,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T31801: Other SME Task 3: General,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
92,2019-01-18,0.25,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
93,2019-01-18,2.25,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
94,2019-01-18,0.25,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
95,2019-01-18,1.08,Lunch Break,,,,,,,,EMP_6,1
96,2019-01-18,1.25,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
97,2019-01-18,0.5,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T31801: Other SME Task 3: General,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
98,2019-01-20,2.08,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,T31801: Other SME Task 3: General,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
99,2019-01-21,2.33,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
100,2019-01-21,6.17,Lunch Break,,,,,,,,EMP_6,1
101,2019-01-21,0.0,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
102,2019-01-22,4.5,Brendan Kelly,19017 - Energy Consulting Support for BK,Project Coordination,Yes,Residential,Consulting,,,EMP_6,1
103,2019-01-22,0.25,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
104,2019-01-22,0.17,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
105,2019-01-22,0.92,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
106,2019-01-23,5.58,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
107,2019-01-23,1.42,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
108,2019-01-23,0.75,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
109,2019-01-24,0.83,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
110,2019-01-24,0.67,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
111,2019-01-24,0.42,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
112,2019-01-24,1.0,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
113,2019-01-24,0.0,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
114,2019-01-24,1.42,Lunch Break,,,,,,,,EMP_6,1
115,2019-01-24,5.67,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
116,2019-01-25,0.08,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
117,2019-01-25,0.17,K2D Consulting Engineers,18341 Ongoing Soody Support,Compliance,Yes,Nonresidential,Consulting,,,EMP_6,1
118,2019-01-25,0.58,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
119,2019-01-25,0.5,Brendan Kelly,19017 - Energy Consulting Support for BK,Project Coordination,Yes,Residential,Consulting,,,EMP_6,1
120,2019-01-25,0.33,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
121,2019-01-25,2.08,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
122,2019-01-25,3.42,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
123,2019-01-25,1.75,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
124,2019-01-25,0.5,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
125,2019-01-27,4.17,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
126,2019-01-28,1.33,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
127,2019-01-28,0.83,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
128,2019-01-28,1.5,Lunch Break,,,,,,,,EMP_6,1
129,2019-01-28,2.5,NORESCO,18340 SCE 2019 Resources Update (deleted),S21802: Task 2 Phase I 2016-2019 ECA Update,Yes,Utilities:Other Utilities,Sub-NORESCO,,,EMP_6,1
130,2019-01-28,1.93,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),T31822: Supporting 2019 Updates,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
131,2019-01-29,0.58,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
132,2019-01-29,0.33,Pacific Gas & Electric Co.,18001 Codes &Standards Buildings Edu,"T31803: Answering Questions: Answering industry questions via phone, email, or other as SME",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
133,2019-01-29,0.5,@ Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead,,,EMP_6,1
134,2019-01-29,0.0,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
135,2019-01-29,1.83,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
136,2019-01-29,3.33,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
137,2019-01-30,1.0,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
138,2019-01-30,4.5,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),T21804: NR Architect 2016,Yes,Utilities:PG&E,Task 2 - Standards Essential Courses,,,EMP_6,1
139,2019-01-30,2.42,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
140,2019-01-30,1.5,Anne Phillips Architecture,19023 - Arise High School Interior Remode,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
141,2019-01-31,0.67,BDE Architecture Inc.,18267 Flower Mart Multi-family,Meeting,No,Nonresidential,Meetings,,,EMP_6,1
142,2019-01-31,0.17,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
143,2019-01-31,0.17,Pacific Gas & Electric - Kelly Task 4,19006 - Task 4 - Kelly Contract,T41803: 2022 Code Development,Yes,Utilities:PG&E,Task 4 - Future Code Work,,,EMP_6,1
144,2019-01-31,0.5,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
145,2019-01-31,0.42,Anne Phillips Architecture,19023 - Arise High School Interior Remode,Meeting,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
146,2019-01-31,1.33,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
147,2019-01-31,0.92,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),T31822: Supporting 2019 Updates,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
148,2019-01-31,0.33,@ Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead,,,EMP_6,1
149,2019-01-31,2.08,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),T31801: Other SME Task 3: General,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
150,2019-01-31,0.17,@ Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead,,,EMP_6,1
151,2019-01-31,0.42,Anne Phillips Architecture,19023 - Arise High School Interior Remode,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
152,2019-01-31,0.58,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
153,2019-02-01,0.67,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
154,2019-02-01,0.58,Anne Phillips Architecture,19023 - Arise High School Interior Remode,Develop Report,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
155,2019-02-01,0.25,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
156,2019-02-01,0.58,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),T31815: 2019 What Changed Resource,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
157,2019-02-01,1.33,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
158,2019-02-01,1.25,Lunch Break,,,,,,,,EMP_6,1
159,2019-02-01,0.17,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
160,2019-02-01,2.33,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),T31815: 2019 What Changed Resource,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
161,2019-02-01,0.5,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),T31801: Other SME Task 3: General,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
162,2019-02-01,2.58,@ Gabel Energy,,Gabel: Misc,No,Overhead,Overhead,,,EMP_6,1
163,2019-02-04,0.33,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
164,2019-02-04,2.67,@ Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead,,,EMP_6,1
165,2019-02-04,0.58,BDE Architecture Inc.,17404 YBI San Francisco,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
166,2019-02-04,1.67,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
167,2019-02-04,1.67,BDE Architecture Inc.,17404 YBI San Francisco,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
168,2019-02-04,0.0,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
169,2019-02-04,1.08,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),"T31814: Weekly/Monthly Check Ins: Weekly meeting with managers, instructor calls, etc.",Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
170,2019-02-04,1.17,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
171,2019-02-04,0.67,BDE Architecture Inc.,17404 YBI San Francisco,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
172,2019-02-04,3.08,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),T31822: Supporting 2019 Updates,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
173,2019-02-05,0.5,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
174,2019-02-05,2.08,BDE Architecture Inc.,17404 YBI San Francisco,Project Coordination,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
175,2019-02-05,0.17,Brendan Kelly,19017 - Energy Consulting Support for BK,Develop Report,Yes,Residential,Consulting,,,EMP_6,1
176,2019-02-05,0.08,BDE Architecture Inc.,17404 YBI San Francisco,Project Coordination,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
177,2019-02-05,0.58,Lunch Break,,,,,,,,EMP_6,1
178,2019-02-05,0.33,BDE Architecture Inc.,17404 YBI San Francisco,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work,,,EMP_6,1
179,2019-02-05,1.67,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu (deleted),T31822: Supporting 2019 Updates,Yes,Utilities:PG&E,Task 3 - Compliance Improvement,,,EMP_6,1
180,2019-02-05,0.5,@ Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead,,,EMP_6,1
181,2019-02-05,0.33,@ Gabel Energy,,Gabel: Email,No,Overhead,Overhead,,,EMP_6,1
