,local_date,hours,jobcode_1,jobcode_2,activity,billable,class,service item
29,2019-01-11,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
30,2019-01-12,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
31,2019-01-12,0.25,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Project Coordination,No,Residential,Energy Code Compliance Work
32,2019-01-12,0.42,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
33,2019-01-14,0.08,"Italo Capestri, AIA",18394 - Hevin Residence,Project Coordination,No,Residential,Energy Code Compliance Work
34,2019-01-14,0.92,"Italo Capestri, AIA",18394 - Hevin Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
35,2019-01-14,0.33,"Italo Capestri, AIA",18394 - Hevin Residence,Project Coordination,No,Residential,Energy Code Compliance Work
36,2019-01-14,0.17,"Italo Capestri, AIA",18394 - Hevin Residence,Project Coordination,No,Residential,Energy Code Compliance Work
37,2019-01-14,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
38,2019-01-15,0.25,"Italo Capestri, AIA",18394 - Hevin Residence,Project Coordination,No,Residential,Energy Code Compliance Work
39,2019-01-16,0.67,Daniel Hoy AIA,18395 - Sweeney Residence,Project Coordination,No,Residential,Energy Code Compliance Work
40,2019-01-16,0.5,Daniel Hoy AIA,18395 - Sweeney Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
41,2019-01-17,0.25,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
42,2019-01-17,0.17,Daniel Hoy AIA,18395 - Sweeney Residence,Project Coordination,No,Residential,Energy Code Compliance Work
43,2019-01-18,1.0,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
44,2019-01-18,1.5,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
45,2019-01-18,1.17,Lunch Break,,,,,
46,2019-01-18,0.08,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
47,2019-01-18,0.5,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
48,2019-01-18,0.33,BDE Architecture Inc.,17404 YBI San Francisco,Project Coordination,No,Nonresidential,Energy Code Compliance Work
49,2019-01-18,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
50,2019-01-18,0.25,Rest Break,,,,,
51,2019-01-18,1.5,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
52,2019-01-21,5.0,Holiday,,,,,
53,2019-01-22,0.17,"Italo Capestri, AIA",18394 - Hevin Residence,Project Coordination,No,Residential,Energy Code Compliance Work
54,2019-01-22,0.17,"Italo Capestri, AIA",18394 - Hevin Residence,Project Coordination,No,Residential,Energy Code Compliance Work
55,2019-01-22,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
56,2019-01-22,0.08,"Italo Capestri, AIA",18394 - Hevin Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
57,2019-01-22,0.33,"Italo Capestri, AIA",18394 - Hevin Residence,Compliance,No,Residential,Energy Code Compliance Work
58,2019-01-22,0.25,"Italo Capestri, AIA",18394 - Hevin Residence,Project Coordination,No,Residential,Energy Code Compliance Work
59,2019-01-22,0.17,Daniel Hoy AIA,18395 - Sweeney Residence,Project Coordination,No,Residential,Energy Code Compliance Work
60,2019-01-22,0.33,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
61,2019-01-22,0.83,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
62,2019-01-22,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
63,2019-01-22,1.0,Lunch Break,,,,,
64,2019-01-24,1.17,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
65,2019-01-24,0.08,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Compliance,No,Residential,Energy Code Compliance Work
66,2019-01-24,0.25,Rest Break,,,,,
67,2019-01-24,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
68,2019-01-24,0.67,Daniel Hoy AIA,18395 - Sweeney Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
69,2019-01-24,0.5,Daniel Hoy AIA,18395 - Sweeney Residence,Compliance,No,Residential,Energy Code Compliance Work
70,2019-01-24,1.0,Lunch Break,,,,,
71,2019-01-24,0.08,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
72,2019-01-24,0.25,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
73,2019-01-24,0.17,"Jason Kaldis Architect, Inc.",19019 - Smith Residence (ADU),Project Coordination,No,Residential,Energy Code Compliance Work
74,2019-01-24,0.33,"Jason Kaldis Architect, Inc.",19019 - Smith Residence (ADU),Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
75,2019-01-24,0.25,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
76,2019-01-24,0.58,"Jason Kaldis Architect, Inc.",19019 - Smith Residence (ADU),Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
77,2019-01-24,0.25,"Jason Kaldis Architect, Inc.",19019 - Smith Residence (ADU),Compliance,No,Residential,Energy Code Compliance Work
78,2019-01-24,0.25,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
79,2019-01-27,0.33,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
80,2019-01-27,0.25,Daniel Hoy AIA,18395 - Sweeney Residence,Compliance,No,Residential,Energy Code Compliance Work
81,2019-01-27,0.17,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Project Coordination,No,Residential,Energy Code Compliance Work
82,2019-01-27,0.17,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
83,2019-01-27,0.75,"Jason Kaldis Architect, Inc.",18383 - Engwall Residence,Compliance,No,Residential,Energy Code Compliance Work
84,2019-01-27,0.17,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
85,2019-02-04,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
86,2019-02-04,0.83,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
87,2019-02-08,0.25,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
88,2019-02-08,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
89,2019-02-08,0.08,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
90,2019-02-08,0.42,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
91,2019-02-08,1.92,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
92,2019-02-08,1.0,Lunch Break,,,,,
93,2019-02-08,0.25,Rest Break,,,,,
94,2019-02-08,0.17,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
95,2019-02-08,0.33,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
96,2019-02-08,0.33,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
97,2019-02-08,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
98,2019-02-08,0.17,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
99,2019-02-08,0.83,BDE Architecture Inc.,16289-GR Lowes Scheme,Energy Model/Takeoffs,Yes,Nonresidential,CA Phase
100,2019-02-11,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
101,2019-02-11,0.17,BDE Architecture Inc.,16289-GR Lowes Scheme,Develop Report,Yes,Nonresidential,CA Phase
102,2019-02-11,1.5,BDE Architecture Inc.,16289-GR Lowes Scheme,Develop Report,Yes,Nonresidential,CA Phase
103,2019-02-12,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
104,2019-02-12,0.42,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
105,2019-02-13,0.67,Gabel Energy,,Gabel: Training/Education,No,Overhead,Overhead
106,2019-02-13,0.17,BDE Architecture Inc.,16289-GR Lowes Scheme,Develop Report,Yes,Nonresidential,CA Phase
107,2019-02-13,0.67,BDE Architecture Inc.,16289-GR Lowes Scheme,Develop Report,Yes,Nonresidential,CA Phase
108,2019-02-13,0.58,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
109,2019-02-13,0.85,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead
110,2019-02-15,0.33,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead
111,2019-02-18,4.0,Holiday,,,,,
112,2019-02-19,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
113,2019-02-19,1.5,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
114,2019-02-19,0.33,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
115,2019-02-19,1.0,Lunch Break,,,,,
116,2019-02-19,0.33,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
117,2019-02-19,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
118,2019-02-19,0.67,Jarvis Architects,19038 - Pon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
119,2019-02-19,0.25,Rest Break,,,,,
120,2019-02-19,0.17,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Project Coordination,No,Nonresidential,Energy Code Compliance Work
121,2019-02-19,0.25,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
122,2019-02-19,0.25,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Project Coordination,No,Nonresidential,Energy Code Compliance Work
123,2019-02-21,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
124,2019-02-21,1.0,Lunch Break,,,,,
125,2019-02-21,0.08,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Project Coordination,No,Nonresidential,Energy Code Compliance Work
126,2019-02-21,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
127,2019-02-21,0.33,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
128,2019-02-22,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
129,2019-02-22,0.75,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
130,2019-02-22,0.08,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Project Coordination,No,Nonresidential,Energy Code Compliance Work
131,2019-02-22,0.5,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
132,2019-02-22,0.25,Rest Break,,,,,
133,2019-02-22,0.42,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
134,2019-02-22,0.08,Jarvis Architects,19038 - Pon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
135,2019-02-22,0.08,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Project Coordination,No,Nonresidential,Energy Code Compliance Work
136,2019-02-22,0.33,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
137,2019-02-22,1.0,Lunch Break,,,,,
138,2019-02-22,0.17,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Project Coordination,No,Nonresidential,Energy Code Compliance Work
139,2019-02-22,0.42,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
140,2019-02-22,0.25,MBA ARCHITECTS,19058 - 579 Magladry Rd Lighting Revision,Project Coordination,No,Nonresidential,Energy Code Compliance Work
141,2019-02-22,0.08,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
142,2019-02-22,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
143,2019-02-22,0.58,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
144,2019-02-25,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
145,2019-02-25,0.58,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
146,2019-02-25,0.83,Lunch Break,,,,,
147,2019-02-25,0.5,BDE Architecture Inc.,18116 MB Lakeside Sunnyvale,Project Coordination,Yes,Nonresidential,CA Phase
148,2019-02-26,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
149,2019-02-26,1.0,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead
150,2019-02-26,0.25,Rest Break,,,,,
151,2019-02-26,0.75,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead
152,2019-02-26,0.75,Lunch Break,,,,,
153,2019-02-26,1.75,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead
154,2019-02-26,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
155,2019-02-26,0.42,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead
156,2019-02-28,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
157,2019-02-28,2.0,Jarvis Architects,19038 - Pon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
158,2019-02-28,0.83,Lunch Break,,,,,
159,2019-02-28,0.5,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead
160,2019-02-28,0.58,Jarvis Architects,19038 - Pon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
161,2019-02-28,0.25,Rest Break,,,,,
162,2019-02-28,1.0,Jarvis Architects,19038 - Pon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
163,2019-02-28,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
164,2019-03-01,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
165,2019-03-01,0.83,Jarvis Architects,19038 - Pon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
166,2019-03-01,0.17,Jarvis Architects,19038 - Pon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
167,2019-03-01,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
168,2019-03-01,0.58,Jarvis Architects,19038 - Pon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
169,2019-03-04,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
170,2019-03-04,0.5,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
171,2019-03-05,0.33,Jarvis Architects,19038 - Pon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
172,2019-03-05,0.25,Gabel Energy,,Gabel: Misc,No,Overhead,Overhead
173,2019-03-05,0.92,Lunch Break,,,,,
174,2019-03-05,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
175,2019-03-05,0.25,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead
176,2019-03-05,0.25,Rest Break,,,,,
177,2019-03-05,0.42,Jarvis Architects,19038 - Pon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
178,2019-03-05,0.25,Jarvis Architects,19038 - Pon Residence,Compliance,No,Residential,Energy Code Compliance Work
179,2019-03-05,0.17,Jarvis Architects,19038 - Pon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
180,2019-03-05,0.33,Jarvis Architects,19038 - Pon Residence,Compliance,No,Residential,Energy Code Compliance Work
181,2019-03-05,1.0,Jarvis Architects,19038 - Pon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
182,2019-03-05,0.42,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
183,2019-03-05,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
184,2019-03-08,0.25,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
185,2019-03-08,0.33,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead
186,2019-03-08,1.75,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
187,2019-03-08,1.0,Lunch Break,,,,,
188,2019-03-08,0.5,"Hayes Group Architects, Inc.",19059 2100 El Camino Real,Project Coordination,No,Nonresidential,Energy Code Compliance Work
189,2019-03-08,0.5,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead
190,2019-03-08,0.25,Rest Break,,,,,
191,2019-03-08,1.25,Gabel Energy,,Gabel: Special Projects,No,Overhead,Overhead
192,2019-03-08,0.58,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
193,2019-03-10,1.5,"Hayes Group Architects, Inc.",19059 2100 El Camino Real,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
194,2019-03-10,1.58,"Hayes Group Architects, Inc.",19059 2100 El Camino Real,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
195,2019-03-11,0.25,"Hayes Group Architects, Inc.",19059 2100 El Camino Real,Project Coordination,No,Nonresidential,Energy Code Compliance Work
196,2019-03-11,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
197,2019-03-11,0.5,"Hayes Group Architects, Inc.",19059 2100 El Camino Real,Project Coordination,No,Nonresidential,Energy Code Compliance Work
198,2019-03-12,0.42,Susan L Wootan Architect,18374 - Nixon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
199,2019-03-12,1.25,Susan L Wootan Architect,18374 - Nixon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
200,2019-03-12,1.0,Lunch Break,,,,,
201,2019-03-12,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
202,2019-03-12,0.75,Gabel Energy,,Gabel: Meeting,No,Overhead,Overhead
203,2019-03-12,0.25,Rest Break,,,,,
204,2019-03-12,0.75,Susan L Wootan Architect,18374 - Nixon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
205,2019-03-12,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
206,2019-03-12,1.25,Susan L Wootan Architect,18374 - Nixon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
207,2019-03-13,0.75,Susan L Wootan Architect,18374 - Nixon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
208,2019-03-13,0.17,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
209,2019-03-13,0.25,Rest Break,,,,,
210,2019-03-13,1.0,Susan L Wootan Architect,18374 - Nixon Residence,Energy Model/Takeoffs,No,Residential,Energy Code Compliance Work
211,2019-03-13,0.58,Susan L Wootan Architect,18374 - Nixon Residence,Compliance,No,Residential,Energy Code Compliance Work
212,2019-03-13,0.17,Susan L Wootan Architect,18374 - Nixon Residence,Gabel: Project Coordination (non-billable),No,Residential,Energy Code Compliance Work
213,2019-03-13,0.17,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
214,2019-03-13,0.83,Lunch Break,,,,,
215,2019-03-13,1.0,Susan L Wootan Architect,18374 - Nixon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
216,2019-03-13,0.42,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
217,2019-03-13,0.5,Jacobs,19068 - Equinix SV10-AUG,Project Coordination,No,Nonresidential,Energy Code Compliance Work
218,2019-03-13,0.5,Susan L Wootan Architect,18374 - Nixon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
219,2019-03-14,1.0,Jacobs,19068 - Equinix SV10-AUG,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
220,2019-03-14,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
221,2019-03-14,0.08,Gabel Energy,,Gabel: Project Coordination (non-billable),No,Overhead,Overhead
222,2019-03-15,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
223,2019-03-15,0.25,"Hayes Group Architects, Inc.",19059 2100 El Camino Real,Project Coordination,No,Nonresidential,Energy Code Compliance Work
224,2019-03-15,2.0,"Hayes Group Architects, Inc.",19059 2100 El Camino Real,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
225,2019-03-15,0.25,Rest Break,,,,,
226,2019-03-15,0.25,Gabel Energy,,Gabel: Proposal,No,Overhead,Overhead
227,2019-03-15,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
228,2019-03-15,0.75,Lunch Break,,,,,
229,2019-03-15,0.5,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Project Coordination,No,Nonresidential,Energy Code Compliance Work
230,2019-03-15,0.25,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
231,2019-03-18,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
232,2019-03-18,0.08,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
233,2019-03-18,0.33,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
234,2019-03-18,0.17,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
235,2019-03-18,1.5,"Hayes Group Architects, Inc.",19059 2100 El Camino Real,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
236,2019-03-18,0.5,Lunch Break,,,,,
237,2019-03-18,0.25,Gabel Energy,,Gabel: Meeting,No,Nonresidential,Overhead
238,2019-03-18,0.5,Susan L Wootan Architect,18374 - Nixon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
239,2019-03-18,0.25,Rest Break,,,,,
240,2019-03-18,0.83,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
241,2019-03-18,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
242,2019-03-19,0.25,BDE Architecture Inc.,18116 MB Lakeside Sunnyvale,Project Coordination,Yes,Nonresidential,CA Phase
243,2019-03-19,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
244,2019-03-19,0.17,Susan L Wootan Architect,18374 - Nixon Residence,Project Coordination,No,Residential,Energy Code Compliance Work
245,2019-03-19,1.0,Lunch Break,,,,,
246,2019-03-19,0.42,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
247,2019-03-19,0.25,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Project Coordination,No,Nonresidential,Energy Code Compliance Work
248,2019-03-19,0.25,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
249,2019-03-19,0.5,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
250,2019-03-19,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
251,2019-03-19,0.25,Rest Break,,,,,
252,2019-03-19,3.25,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
253,2019-03-20,0.25,Gabel Energy,,Gabel: Meeting,No,Residential,Overhead
254,2019-03-20,0.08,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
255,2019-03-20,1.83,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
256,2019-03-20,0.92,Lunch Break,,,,,
257,2019-03-20,1.75,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
258,2019-03-20,0.17,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Project Coordination,No,Nonresidential,Energy Code Compliance Work
259,2019-03-20,0.08,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
260,2019-03-20,1.17,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
261,2019-03-20,0.25,Rest Break,,,,,
262,2019-03-20,1.5,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Energy Model/Takeoffs,No,Nonresidential,Energy Code Compliance Work
263,2019-03-20,0.25,"International Parking Design, Inc",19070 - Sierra Point Parking Structure,Project Coordination,No,Nonresidential,Energy Code Compliance Work
264,2019-03-21,0.5,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu,"T31802: Conference Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement
265,2019-03-21,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
266,2019-03-21,3.58,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu,"T31802: Conference Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement
267,2019-03-22,0.25,Gabel Energy,,Gabel: Email,No,Overhead,Overhead
268,2019-03-22,0.83,Gabel Energy,,Gabel: Office Management,No,Overhead,Overhead
269,2019-03-22,4.5,Pacific Gas & Electric Co.,19001 Codes & Standards Buildings Edu,"T31802: Conference Attendance & Prep (include event, date, details in Notes);",Yes,Utilities:PG&E,Task 3 - Compliance Improvement
